candidate_id,screening_ids,source_celex,article,candidate_actor,candidate_relationship_description,relational_test_result,construct_validity,inclusion_decision,exclusion_reason,resulting_relationship_id,coder,coding_date,adjudication_note
CAND-01,"see screening_hits_v3.csv: source_celex=32022L2464, article contains 'Article 27a'",32022L2464,Article 27a (Directive 2006/43/EC),group auditor,Member State competent authority (R) - group auditor (I candidate) - undertaking/group (T),positive,confirmed,included,,RIT-001,Igor Caires Machado,2026-09-05,"All five relational-test conditions met: identifiable R (competent authority), identifiable T (undertaking), analytically distinct third actor (group auditor), mediating function (assurance of sustainability reporting), explicit textual support (Art. 27a(1)(a))."
CAND-02,"see screening_hits_v3.csv: source_celex=32022L2464, article contains 'Article 27a'",32022L2464,Article 27a (Directive 2006/43/EC),subsidiary-level assurance provider (independent assurance services provider / third-country auditor / statutory auditor / audit entity / audit firm),"group auditor (R, in a coordinating/reviewing capacity) - subsidiary-level assurance provider (I candidate) - subsidiary undertaking (T)",positive,confirmed,included,,RIT-002,Igor Caires Machado,2026-09-05,"Downstream link in the same chain as CAND-01 (chain_id=CHAIN-CSRD-1, level L2). Coded as ONE relationship because Art. 27a(1)(b) lists the eligible entity types disjunctively (any ONE of them fills the same functional role in a given case), not as five simultaneous actors in one relationship - see actor ACT-04 note."
CAND-03,"see screening_hits_v3.csv: source_celex=32022L2464, article contains 'Article 19a' (via Art. 1, amending Directive 2013/34/EU)",32022L2464,"Article 19a (Directive 2013/34/EU, via Art. 1)",none - no third actor present,"Member State (R, transposing the obligation) - undertaking (T): direct duty to include sustainability information in the management report",negative,confirmed (as a non-intermediation case),excluded,"Fails condition (c) of the relational test: no analytically distinct third actor performs a mediating function in this specific provision. Dyadic R-T relationship (reporting_mechanism_present=1, intermediary_present=0).",,Igor Caires Machado,2026-09-05,Deliberate negative control: reporting exists without an intermediary here. The intermediary (auditor) only appears in the separate assurance provisions coded as CAND-01/CAND-02.
CAND-04,"see screening_hits_v3.csv: source_celex=32010R0066, article contains 'Article 9'",32010R0066,Article 9,competent body,European Commission (R) - competent body (I candidate) - operator/applicant (T),positive,confirmed,included,,RIT-003,Igor Caires Machado,2026-09-05,"All conditions met: competent body assesses applications, verifies conformity, assigns registration numbers, contracts terms of use - distinct mediating function between Commission's framework (Art. 8) and the applicant."
CAND-05a,"see screening_hits_v3.csv: source_celex=32010R0066, article contains 'Article 9(7)'",32010R0066,Article 9(7),ISO 17025-accredited testing body,"competent body (R, relying party) - ISO 17025-accredited testing body (I candidate) - operator's product/test outcome (T)",positive,confirmed,included,,RIT-004,Igor Caires Machado,2026-09-05,Split from a single sentence naming two distinct accredited-body types (testing vs. verification) performing two distinct functions - one-row-one-relationship rule applied (see CAND-05b).
CAND-05b,"see screening_hits_v3.csv: source_celex=32010R0066, article contains 'Article 9(7)'",32010R0066,Article 9(7),EN 45011-accredited verification body,"competent body (R, relying party) - EN 45011-accredited verification body (I candidate) - operator's product/verification outcome (T)",positive,confirmed,included,,RIT-005,Igor Caires Machado,2026-09-05,"Paired with CAND-05a; same chain (CHAIN-ECO-1, level L2), distinct function (verification, not testing)."
CAND-06,"see screening_hits_v3.csv: source_celex=32010R0066, article contains 'Article 5'",32010R0066,Article 5,European Union Ecolabelling Board (EUEB),European Commission (R) - EUEB (candidate I) - no target identified,negative,confirmed (as a non-intermediation case),excluded,Fails condition (b)/(d): no rule-taker/target is mediated by this body. The EUEB advises the Commission on rule-making (criteria-setting) itself; it does not sit between an existing regulator-target relationship.,,Igor Caires Machado,2026-09-05,Deliberate negative control demonstrating discriminant validity: not every third actor near a regulator is an intermediary.
CAND-07,"see screening_hits_v3.csv: source_celex=32019R2089, article contains 'Article 19b'",32019R2089,Article 19b,benchmark administrator,"regulator not named in this provision (sits elsewhere in Regulation (EU) 2016/1011) - benchmark administrator (I candidate) - constituent companies (primary T) / asset managers (secondary, indirect T)",conditional,conditional,quarantined - not promoted to rit_relationships_v3.csv pending resolution,Condition (a) not demonstrable from this provision alone (R not named); condition (e)/target identity ambiguous (dual/indirect T). Held in quarantine per RIT_CODEBOOK_v3.md rather than force-included or force-excluded.,,Igor Caires Machado,2026-09-05,"Open construct-validity question for discussion with David: regulated index provider vs. regulatory intermediary performing ranking/rating. Kept here, not in rit_relationships_v3.csv, until resolved."
CAND-08,"see screening_hits_v3.csv: source_celex=32018R2067, article contains 'Article 27'",32018R2067,Article 27,verifier,competent authority (R) - verifier (I candidate) - operator/aircraft operator (T),positive,confirmed,included,,RIT-006,Igor Caires Machado,2026-09-05,"Strongest textual support in the sample: Art. 27(3)(j) names operator, competent authority and verifier as the three responsibility-holders in the same sentence."
CAND-09,"see screening_hits_v3.csv: source_celex=32018R2067, article contains 'Article 5'",32018R2067,Article 5,national accreditation body (as intermediary between the Art. 14 peer-evaluation framework and the verifier),"body recognised under Art. 14 of Regulation (EC) No 765/2008 (R, peer-evaluates national accreditation bodies) - national accreditation body (I candidate) - verifier (T)",positive,confirmed,included,,RIT-007,Igor Caires Machado,2026-09-05,"First reading treated this as a direct national-accreditation-body-to-verifier duty (dyadic, no I) - corrected on the relational test: the national accreditation body is itself subject to peer evaluation by the Art. 14 body (evidence already on file in CODEBOOK.md's certification anchor examples), so it occupies I here, not R. This also produces the role-multiplicity case: the verifier (ACT-16) is I in RIT-006 and T in RIT-007; the national accreditation body (ACT-18) is I here and could itself be coded as T in a further relationship with ACT-19 as R, not done in this pilot."
