screening_id,source_celex,amended_act,article,carrier_section,provision_type,candidate_mechanism,semantic_role,matched_pattern,matched_keyword,screening_confidence,evidence_text
SCR-00001,32022L2464,,,,recital,reporting,instrument,non-financial (report|statement),non-financial report,high,"In its communication of 11 December 2019 entitled ‘The European Green Deal’ (the ‘Green Deal’), the European Commission made a commitment to review the provisions concerning non-financial reporting of Directive 2013/34/EU of the European Parliament and of the Council (3). The Green Deal is the new growth strategy of the Union. It aims to transform the Union into a modern, resource-efficient and competitive economy with no net emissions of greenhouse gases (GHG) by 2050. It also aims to protect, "
SCR-00002,32022L2464,,,,recital,ranking_rating,actor,benchmark administrator,benchmark administrator,high,"Regulation (EU) 2020/852 of the European Parliament and of the Council (6) creates a classification system of environmentally sustainable economic activities with the aim of scaling up sustainable investments and combatting greenwashing of financial products that unduly claim to be sustainable. Regulation (EU) 2019/2089 of the European Parliament and of the Council (7), complemented by Commission Delegated Regulations (EU) 2020/1816 (8), (EU) 2020/1817 (9) and (EU) 2020/1818 (10), introduces env"
SCR-00003,32022L2464,,,,recital,reporting,instrument,non-financial (report|statement),non-financial report,high,"In its Communication of 17 June 2019 entitled ‘Guidelines on non-financial reporting: Supplement on reporting climate-related information’ (‘Guidelines on reporting climate-related information’), the Commission highlighted the benefits for companies of reporting on climate-related information particularly by increasing awareness and understanding of climate-related risks and opportunities within the company, diversifying the investor base, creating a lower cost of capital and improving construct"
SCR-00004,32022L2464,,,,recital,reporting,instrument,non-financial (report|statement),non-financial report,high,"In its conclusions of 5 December 2019 on the deepening of the Capital Markets Union, the Council stressed the importance of reliable, comparable and relevant information on sustainability risks, opportunities and impacts, and called on the Commission to consider the development of a European non-financial reporting standard."
SCR-00005,32022L2464,,,,recital,reporting,instrument,non-financial (report|statement),non-financial report,high,"In its resolution of 29 May 2018 on sustainable finance (14), the European Parliament called for the further development of non-financial reporting requirements in the framework of Directive 2013/34/EU. In its resolution of 17 December 2020 on sustainable corporate governance (15), the European Parliament welcomed the Commission’s commitment to review Directive 2013/34/EU and expressed the need to set up a comprehensive Union framework on non-financial reporting that contains mandatory Union non"
SCR-00006,32022L2464,,,,recital,auditing,mechanism,\baudit\w*,audit,low,"In its resolution of 29 May 2018 on sustainable finance (14), the European Parliament called for the further development of non-financial reporting requirements in the framework of Directive 2013/34/EU. In its resolution of 17 December 2020 on sustainable corporate governance (15), the European Parliament welcomed the Commission’s commitment to review Directive 2013/34/EU and expressed the need to set up a comprehensive Union framework on non-financial reporting that contains mandatory Union non"
SCR-00007,32022L2464,,,,recital,reporting,instrument,\breport\b,report,low,"Directive 2014/95/EU of the European Parliament and of the Council (16) amended Directive 2013/34/EU as regards disclosure of non-financial information by certain large undertakings and groups. Directive 2014/95/EU introduced a requirement on undertakings to report information on, as a minimum, environmental, social and employee matters, respect for human rights, anti-corruption and bribery matters. With regard to those topics, Directive 2014/95/EU required undertakings to disclose information u"
SCR-00008,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Many stakeholders consider the term ‘non-financial’ to be inaccurate, in particular because it implies that the information in question has no financial relevance. Increasingly, however, such information does have financial relevance. Many organisations, initiatives and practitioners in the field of sustainability reporting refer to ‘sustainability information’. It is therefore preferable to use the term ‘sustainability information’ in place of ‘non-financial information’. Directive 2013/34/EU s"
SCR-00009,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"If undertakings carried out better sustainability reporting, the ultimate beneficiaries would be individual citizens and savers, including trade unions and workers’ representatives who would be adequately informed and therefore able to better engage in social dialogue. Savers who want to invest sustainably will have the opportunity to do so, while all citizens would benefit from a stable, sustainable and inclusive economic system. To realise such benefits, the sustainability information disclose"
SCR-00010,32022L2464,,,,recital,reporting,instrument,\breport\b,report,low,"The business partners of undertakings, including customers, might rely on sustainability information to understand and, where necessary, report on their sustainability risks and impacts throughout their own value chains. Policy makers and environmental agencies can use such information, in particular on an aggregate basis, to monitor environmental and social trends, to contribute to environmental accounts, and to inform public policy. Few individual citizens and consumers directly consult undert"
