source_act,amended_act,carrier_article,carrier_section,provision_type,mechanism,screening_confidence,intermediary_validated,matched_pattern,matched_keyword,evidence_text
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"An overall framework of rules for the accreditation of verifiers is necessary to ensure that the verification of operator's or aircraft operator's reports in the framework of the Union's greenhouse gas emission allowance trading system, to be submitted in accordance with Commission Implementing Regulation (EU) 2018/2066 (2), is carried out by verifiers that possess the technical competence to perform the entrusted task in an independent and impartial manner and in conformity with the requirement"
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"Experience in the application of Commission Regulation (EU) No 600/2012 (3) has shown the need to improve, clarify and simplify the accreditation and verification rules to further promote harmonisation and enhance the efficiency of the system. A number of amendments therefore need to be made to Regulation (EU) No 600/2012. In the interests of clarity, that Regulation should be replaced."
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,Directive 2006/123/EC of the European Parliament and of the Council (4) establishes a general framework to facilitate the free movement of services and service providers in the Union while maintaining a high quality of service. Union harmonisation of the rules for accreditation and verification relating to the Union's emissions trading system should contribute to a competitive market for verifiers while ensuring transparency and information for operators and aircraft operators.
32018R2067,,,,recital,certificacao,high,0,national accreditation bod(y|ies),national accreditation bodies,"When implementing Article 15 of Directive 2003/87/EC, it is necessary to ensure a synergy between the comprehensive framework for accreditation established by Regulation (EC) No 765/2008 of the European Parliament and of the Council (5) and related provisions of Decision No 768/2008/EC of the European Parliament and of the Council (6) on one hand, and the specific features of the Union's greenhouse gas emission trading system and requirements that are essential for the effective implementation o"
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"Regulation (EC) No 1221/2009 of the European Parliament and of the Council (7) provides for an independent and neutral accreditation or licensing system for environmental verifiers. For reasons of coherence and to reduce the administrative burden imposed on the Member States and economic operators, it is appropriate to take account of synergies between that and this Regulation."
32018R2067,,,,recital,certificacao,high,0,conformity assessment (body|bodies),conformity assessment bodies,"The system of verification and accreditation should avoid any unnecessary duplication of procedures and organisations established pursuant to other Union legal instruments that would result in an increased burden for Member States or economic operators. Therefore, it is appropriate to draw on best practices resulting from the application of harmonised standards adopted by the European Committee for Standardisation on the basis of a request made by the Commission in accordance with Regulation (EU"
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"When establishing harmonised rules for the verification of operator's or aircraft operator's reports and the accreditation of verifiers, it is necessary to ensure that the burden imposed on operators emitting a lower amount of carbon dioxide (CO2) per year, on aircraft operators considered small emitters within the meaning of Implementing Regulation (EU) 2018/2066, as well as on the available resources of the Member States is not disproportionate to the aims pursued."
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"To make best use of synergies and given the importance of verification of data used for the update of ex ante benchmarks and the determination of free allocation to installations, it is appropriate to include rules for verification of baseline data reports and new entrant data reports which are required by Commission Delegated Regulation .../... of 19 December 2018 determining transitional Union-wide rules for harmonised free allocation of emission allowances pursuant to Article 10a of Directive"
32018R2067,,,,recital,ranking_rating,low,0,\bbenchmark\w*,benchmarks,"To make best use of synergies and given the importance of verification of data used for the update of ex ante benchmarks and the determination of free allocation to installations, it is appropriate to include rules for verification of baseline data reports and new entrant data reports which are required by Commission Delegated Regulation .../... of 19 December 2018 determining transitional Union-wide rules for harmonised free allocation of emission allowances pursuant to Article 10a of Directive"
32018R2067,,,,recital,reportar,low,0,\breport\b,report,"In accordance with the principles of Annex V to Directive 2003/87/EC, the verifier should apply a risk-based approach with the aim of reaching a verification opinion providing reasonable assurance that the total emissions or tonne-kilometres are not materially misstated and the report can be verified as satisfactory. The level of assurance should relate to the depth and detail of verification activities carried out during the verification and the wording of the verification opinion statement. If"
